ID;Fundorte;Land;Lage;Typ;Breite;Länge
18;Plinkaigalis;Litauen;Inland, Fluss;Grab;55,414;23,661
24;Turlojiškė;Litauen;Inland, Fluss;Grab;54,357;23,322
26;Altdorf-Aich;Deutschland;Inland, Fluss;Grab;48,562104;12,09967
28;Bergrheinfeld;Deutschland;Inland, Fluss;Grab;50;10,166667
29;Buchbrunn;Deutschland;Inland, Fluss;Grab;49,759167;10,135
30;Burgweinting;Deutschland;Inland, Fluss;Grab;48,988889;12,152778
31;Dillingen;Deutschland;Inland, Fluss;Grab;48,566667;10,466667
32;Eichendorf;Deutschland;Inland, Fluss;Grab;48,633333;12,85
33;Essenbach;Deutschland;Inland, Fluss;Grab;48,616667;12,216667
35;Kelheim;Deutschland;Inland, Fluss;Grab;48,916667;11,866667
36;Köfering;Deutschland;Inland, Fluss;Grab;48,938056;12,195
37;Kösching;Deutschland;Inland, Fluss;Grab;48,810833;11,500833
40;Landshut;Deutschland;Inland, Fluss;Grab;48,539722;12,150833
41;Mintraching;Deutschland;Inland, Fluss;Grab;48,951944;12,245833
43;Mötzing;Deutschland;Inland, Fluss;Grab;48,894167;12,373889
44;Niederpöring;Deutschland;Inland, Fluss;Grab;48,712214;12,840406
45;Olching-Esting;Deutschland;Inland, Fluss;Grab;48,208611;11,335556
46;Osterhofen;Deutschland;Inland, Fluss;Grab;48,7;13,016667
47;Pilsting;Deutschland;Inland, Fluss;Grab;48,7;12,65
49;Riekofen;Deutschland;Inland, Fluss;Grab;48,917778;12,350278
50;Sengkofen;Deutschland;Inland, Fluss;Grab;48,92457;12,28741
52;Straubing;Deutschland;Inland, Fluss;Grab;48,883333;12,566667
53;Teugn;Deutschland;Inland, Fluss;Grab;48,9;12,016667
54;Weichering;Deutschland;Inland, Fluss;Grab;48,716667;11,316667
55;Wildenberg;Deutschland;Inland, Fluss;Grab;48,733333;11,916667
56;Wischlburg;Deutschland;Inland, Fluss;Grab;48,827778;12,778056
58;Aiterhofen;Deutschland;Inland, Fluss;Grab;48,85;12,616667
118;Abri des Autours (Anseremme);Belgien;Inland, Fluss;Grab;50,223708;4,89398
121;Caverne de Jausse (Faux-les-Tombes);Belgien;Inland, Fluss;Grab;50,428;4,999
122;Diaclase;Belgien;Inland, Fluss;Grab;50,367;4,467
138;Hastière;Belgien;Inland, Fluss;Grab;50,217;4,817
142;La Cimetière (Hastière);Belgien;Inland, Fluss;Grab;50,216667;4,833333
143;Petit Ri (Malonne);Belgien;Inland, Fluss;Grab;50,433;4,783
145;Petite Caverne (Hastière);Belgien;Inland, Fluss;Grab;50,216667;4,833333
156;Waulsort;Belgien;Inland, Fluss;Grab;50,2;4,683333
241;Pepkino;Mari-El;Inland, Fluss;Grab;56,221882;46,532054
245;Trebur;Deutschland;Inland, Fluss;Grab;49,925;8,405556
295;Prag-Miškovice;Tschechien;Inland, Fluss;Grab;50,083333;14,416667
445;Magyarhomorog;Ungarn;Inland, Fluss;Grab;47,02245;21,54396
454;Tiszapolgár-Basatanya;Ungarn;Inland, Fluss;Grab;47,816667;21,1
477;Unseburg;Deutschland;Inland, Fluss;Grab;51,930556;11,517778
533;Labbacallee;Irland;Inland, Fluss;Grab;52,169838;-8,336886
579;Devèzes de Maymac, Bertholène;S-Frankreich;Inland, Fluss;Grab;44,395556;2,779444
617;Aygurskiy;Kaukasus (Russland);Inland, Fluss;Grab;46,057985;43,494873
684;Bois Laiterie (Profondeville);Belgien;Inland, Fluss;Grab;50,383333;4,866667
778;Dereivka;Ukraine;Inland, Fluss;Grab;48,916667;33,666667
780;Molukhov Bugor;Ukraine;Inland, Fluss;Grab;49,133333;32,466667
781;Nikolskoye;Ukraine;Inland, Fluss;Grab;48,183333;35,166667
782;Yasinovatka;Ukraine;Inland, Fluss;Grab;48,85;35,15
