ID;Fundort-ID;Fundort_Individuum;rel Dat;Kalendarjahre_cal_BC_BP;lower_dat;upper_dat;mean;Radiokarbon-Alter (14C-Jahre BP);Lit;Anzahl;δ13C;δ15N;Geschlecht;Alter;neu gegenüber 2016;Radiocarbon;Radiocarbon unc
19;112;Ofnet Höhle 2374-1;S Meso;5500 BC;5600;5400;5500;;Bocherens et al. 1997;;-19,4;10;unb;Inf I;1;;
20;112;Ofnet Höhle 2476-3;S Meso;5500 BC;5600;5400;5500;;Bocherens et al. 1997;;-19,6;10,7;f?;ad;1;;
21;112;Ofnet Höhle 2478-5;S Meso;5500 BC;5600;5400;5500;;Bocherens et al. 1997;;-19,9;10,7;unb;Inf II;1;;
22;112;Ofnet Höhle 2479-6;S Meso;5500 BC;5600;5400;5500;;Bocherens et al. 1997;;-19,3;11,7;unb;Inf I;1;;
23;112;Ofnet Höhle 2481-8;S Meso;5500 BC;5600;5400;5500;;Bocherens et al. 1997;;-19,6;10,9;f?;ad;1;;
24;112;Ofnet Höhle 2482-9;S Meso;5500 BC;5600;5400;5500;;Bocherens et al. 1997;;-19,5;11,6;unb;Inf I;1;;
25;112;Ofnet Höhle 2484-11;S Meso;5500 BC;5600;5400;5500;;Bocherens et al. 1997;;-19,4;10,9;m?;ad ;1;;
26;112;Ofnet Höhle 2485-12;S Meso;5500 BC;5600;5400;5500;;Bocherens et al. 1997;;-19,7;11,3;unb;Inf II;1;;
27;112;Ofnet Höhle 2486-13;S Meso;5500 BC;5600;5400;5500;;Bocherens et al. 1997;;-19,8;10,7;f?;ad;1;;
28;112;Ofnet Höhle 2488-15;S Meso;5500 BC;5600;5400;5500;;Bocherens et al. 1997;;-19,7;10,6;f?;ad ;1;;
29;112;Ofnet Höhle 2489-17;S Meso;5500 BC;5600;5400;5500;;Bocherens et al. 1997;;-19,9;11,1;unb;Inf I;1;;
30;112;Ofnet Höhle 2490-18;S Meso;5500 BC;5600;5400;5500;;Bocherens et al. 1997;;-20;10,5;f?;ad;1;;
31;112;Ofnet Höhle 2491-19;S Meso;5500 BC;5600;5400;5500;;Bocherens et al. 1997;;-19,6;11,7;unb;Inf I;1;;
32;112;Ofnet Höhle 2492-20;S Meso;5500 BC;5600;5400;5500;;Bocherens et al. 1997;;-19,6;11,1;unb;Inf II;1;;
33;112;Ofnet Höhle 2493-21;S Meso;5500 BC;5600;5400;5500;;Bocherens et al. 1997;;-19,6;10,6;m;ad;1;;
34;112;Ofnet Höhle 2494-22;S Meso;5500 BC;5600;5400;5500;;Bocherens et al. 1997;;-19,6;10,5;unb;Inf I;1;;
35;112;Ofnet Höhle 2495-23;S Meso;5500 BC;5600;5400;5500;;Bocherens et al. 1997;;-19,6;11;unb;Inf I/II;1;;
36;112;Ofnet Höhle 2497-25;S Meso;5500 BC;5600;5400;5500;;Bocherens et al. 1997;;-19,6;11,1;f?;ad;1;;
37;112;Ofnet Höhle 2498-26;S Meso;5500 BC;5600;5400;5500;;Bocherens et al. 1997;;-19,3;10,7;unb;Inf II;1;;
38;112;Ofnet Höhle 2499-27;S Meso;5500 BC;5600;5400;5500;;Bocherens et al. 1997;;-19,2;12,2;unb;Inf I;1;;
39;112;Ofnet Höhle 2500-28;S Meso;5500 BC;5600;5400;5500;;Bocherens et al. 1997;;-19,6;11,2;unb;Inf II;1;;
40;112;Ofnet Höhle 2502-30;S Meso;5500 BC;5600;5400;5500;;Bocherens et al. 1997;;-19,4;10,1;unb;Inf II;1;;
41;112;Ofnet Höhle 2503-31;S Meso;5500 BC;5600;5400;5500;;Bocherens et al. 1997;;-19,7;10,8;unb;Inf II;1;;
42;112;Ofnet Höhle 2504-32;S Meso;5500 BC;5600;5400;5500;;Bocherens et al. 1997;;-19,7;10,9;f?;ad;1;;
43;112;Ofnet Höhle 2505-33;S Meso;5500 BC;5600;5400;5500;;Bocherens et al. 1997;;-19,6;10,8;unb;Inf I;1;;
44;113;"Awirs Cave (‘‘Engis 2"")";S MPal;40000-35000 BP;40000;35000;37500;;Bocherens et al. 2001;;-19,6;12,6;unb;Inf I;1;;
45;118;Abri des Autours 1 (Anseremme) BM-41;M Neo (Michelsberg);4320-3980 cal. BC;4320;3980;4150;5300+-55 BP;Bocherens et al. 2007;;-21;9,2;unb;ad;1;5300;55 
46;118;Abri des Autours 1 (Anseremme) BM-43;M Neo (Michelsberg);4320-3980 cal. BC;4320;3980;4150;5300+-55 BP;Bocherens et al. 2007;;-20,8;10,8;unb;Inf I ;1;5300;55 
47;118;Abri des Autours 1 (Anseremme) BM-6/7;M Neo (Michelsberg);4320-3980 cal. BC;4320;3980;4150;5300+-55 BP;Bocherens et al. 2007;;-21,2;10,9;f;ad;1;5300;55 
