labcode;country;region;longitude;latitude;site;sample;material;species;d13C;r_date;r_date_sigma;qual;F14C;F14C_sigma;environment;context;period;dynasty;reign
OxA-21286;Turkey;NA;36.4667;33.6;Kilise Tepe;01 (I19/612);charcoal;Pinus brutia/halepensis;-23.486;3182;30;NA;0.67291;0.00253;NA;NA;NA;NA;NA
OxA-21287;Turkey;NA;36.4667;33.6;Kilise Tepe;04 (J19/678);charcoal;Pinus brutia/halepensis;-23.841;3081;28;NA;0.68144;0.00241;NA;NA;NA;NA;NA
OxA-21288;Turkey;NA;36.4667;33.6;Kilise Tepe;06 (K19/552);charcoal;Pinus brutia/halepensis;-22.315;3140;29;NA;0.67647;0.00242;NA;NA;NA;NA;NA
OxA-21289;Turkey;NA;36.4667;33.6;Kilise Tepe;08 (J20/322);charcoal;Pinus brutia/halepensis;-23.605;3095;27;NA;0.68029;0.00227;NA;NA;NA;NA;NA
OxA-21290;Turkey;NA;36.4667;33.6;Kilise Tepe;09 (K19/545);charcoal;Pinus brutia/halepensis;-22.202;3368;27;NA;0.65754;0.00222;NA;NA;NA;NA;NA
OxA-21291;Turkey;NA;36.4667;33.6;Kilise Tepe;10 (K19/551);charcoal;Pinus brutia/halepensis;-22.077;3034;26;NA;0.68541;0.0022;NA;NA;NA;NA;NA
OxA-21292;Turkey;NA;36.4667;33.6;Kilise Tepe;11 (K20/254);charcoal;Pinus nigra/sylvestris;-23.204;3061;28;NA;0.68317;0.0024;NA;NA;NA;NA;NA
OxA-21293;Turkey;NA;36.4667;33.6;Kilise Tepe;12 (K20/255);charcoal;Tamarix sp.;-23.824;3084;28;NA;0.68118;0.00238;NA;NA;NA;NA;NA
OxA-21294;Turkey;NA;36.4667;33.6;Kilise Tepe;13(K20/253);charcoal;Pinus brutia/halepensis;-23.123;3027;28;NA;0.68601;0.00242;NA;NA;NA;NA;NA
OxA-21295;Turkey;NA;36.4667;33.6;Kilise Tepe;14 (J20/321);charcoal;Pinus brutia/halepensis;-23.254;3019;29;NA;0.68669;0.00244;NA;NA;NA;NA;NA
OxA-21296;Turkey;NA;36.4667;33.6;Kilise Tepe;15 (J20/300);charcoal;Pinus brutia/halepensis;-22.496;3022;29;NA;0.68647;0.00244;NA;NA;NA;NA;NA
OxA-21297;Turkey;NA;36.4667;33.6;Kilise Tepe;16 (J20/306);charcoal;Pinus brutia/halepensis;-22.201;3045;29;NA;0.68452;0.00243;NA;NA;NA;NA;NA
OxA-21298;Turkey;NA;36.4667;33.6;Kilise Tepe;17 (J19/675);charcoal;Pinus brutia/halepensis;-25.3;3059;29;NA;0.68327;0.00247;NA;NA;NA;NA;NA
OxA-21299;Turkey;NA;36.4667;33.6;Kilise Tepe;17 (J19/675);charcoal;Pinus brutia/halepensis;-24.227;3054;29;NA;0.68373;0.00243;NA;NA;NA;NA;NA
OxA-21300;Turkey;NA;36.4667;33.6;Kilise Tepe;20 (I18/230a);charcoal;Pinus brutia/halepensis;-23.754;2599;28;NA;0.72354;0.00252;NA;NA;NA;NA;NA
OxA-21301;Turkey;NA;36.4667;33.6;Kilise Tepe;21 (I18/207);charcoal;Pinus brutia/halepensis;-22.173;2602;29;NA;0.72334;0.00259;NA;NA;NA;NA;NA
OxA-21302;Turkey;NA;36.4667;33.6;Kilise Tepe;22 (I18/286);charcoal;Pinus brutia/halepensis;-23.701;2573;28;NA;0.72594;0.00257;NA;NA;NA;NA;NA
OxA-21303;Turkey;NA;36.4667;33.6;Kilise Tepe;23 ((K14/659);charcoal;Pinus brutia/halepensis;-22.852;2880;29;NA;0.69871;0.00254;NA;NA;NA;NA;NA
OxA-21304;Turkey;NA;36.4667;33.6;Kilise Tepe;27 (K14/522);charcoal;Pinus brutia/halepensis;-23.486;2927;30;NA;0.69462;0.00256;NA;NA;NA;NA;NA
OxA-21305;Turkey;NA;36.4667;33.6;Kilise Tepe;28 (K14/406);charcoal;Pinus brutia/halepensis;-22.978;2937;30;NA;0.69379;0.00262;NA;NA;NA;NA;NA
OxA-21306;Turkey;NA;36.4667;33.6;Kilise Tepe;29 (K14/279);charcoal;Pinus brutia/halepensis;-23.181;2659;29;NA;0.7182;0.00258;NA;NA;NA;NA;NA
OxA-21307;Turkey;NA;36.4667;33.6;Kilise Tepe;30 (K14/397);charcoal;Pinus brutia/halepensis;-24.487;2876;29;NA;0.6991;0.00256;NA;NA;NA;NA;NA
OxA-21320;Turkey;NA;36.4667;33.6;Kilise Tepe;31 (K14/499);charcoal;Olea europea;-23.295;2807;28;NA;0.70506;0.0025;NA;NA;NA;NA;NA
OxA-21321;Turkey;NA;36.4667;33.6;Kilise Tepe;32 (K14/515);charcoal;"Olea europea; Pinus bruti";-25.974;2692;28;NA;0.71524;0.00252;NA;NA;NA;NA;NA
OxA-21322;Turkey;NA;36.4667;33.6;Kilise Tepe;33 (K14/490);charcoal;Pinus brutia/halepensis;-23.465;2721;29;NA;0.71266;0.00261;NA;NA;NA;NA;NA
OxA-21323;Turkey;NA;36.4667;33.6;Kilise Tepe;34(K14/480);charcoal;"Quercus evergreen; Olea e";-25.435;2550;29;NA;0.728;0.00259;NA;NA;NA;NA;NA
OxA-21324;Turkey;NA;36.4667;33.6;Kilise Tepe;36 (K14/661);charcoal;Pinus brutia/halepensis;-22.348;2652;29;NA;0.71886;0.00261;NA;NA;NA;NA;NA
OxA-21325;Turkey;NA;36.4667;33.6;Kilise Tepe;37 (M18/69);charcoal;Pinus brutia/halepensis;-23.155;1674;26;NA;0.81192;0.00264;NA;NA;NA;NA;NA
OxA-21326;Turkey;NA;36.4667;33.6;Kilise Tepe;38 (M18/122);charcoal;Pinus brutia/halepensis;-22.872;1586;27;NA;0.82085;0.00278;NA;NA;NA;NA;NA
OxA-21327;Turkey;NA;36.4667;33.6;Kilise Tepe;39 (M18/121);charcoal;Pinus brutia/halepensis;-23.125;1710;26;NA;0.80831;0.00262;NA;NA;NA;NA;NA
OxA-21328;Turkey;NA;36.4667;33.6;Kilise Tepe;40 (M18/297);charcoal;Pinus brutia/halepensis;-21.62;1759;27;NA;0.8033;0.00267;NA;NA;NA;NA;NA
OxA-21329;Turkey;NA;36.4667;33.6;Kilise Tepe;41 (M18/298);charcoal;Pinus brutia/halepensis;-25.284;1626;27;NA;0.81677;0.00277;NA;NA;NA;NA;NA
OxA-21330;Turkey;NA;36.4667;33.6;Kilise Tepe;42 (M18/299);charcoal;Olea europea;-25.099;1585;27;NA;0.82092;0.0028;NA;NA;NA;NA;NA
OxA-21331;Turkey;NA;36.4667;33.6;Kilise Tepe;43 (M18/305);other;Corylus avellana (charred;-24.75;1574;27;NA;0.82202;0.00281;NA;NA;NA;NA;NA
OxA-21332;Turkey;NA;36.4667;33.6;Kilise Tepe;44 (M18/180);charcoal;Pinus brutia/halepensis;-25.916;1127;27;NA;0.86915;0.00297;NA;NA;NA;NA;NA
OxA-21333;Turkey;NA;36.4667;33.6;Kilise Tepe;45 (M18/204);charcoal;Pinus brutia/halepensis;-22.934;2508;29;NA;0.73184;0.00267;NA;NA;NA;NA;NA
OxA-21334;Turkey;NA;36.4667;33.6;Kilise Tepe;46 (L19/112);charcoal;Pinus brutia/halepensis;-24.696;1585;27;NA;0.82095;0.00278;NA;NA;NA;NA;NA
OxA-21335;Turkey;NA;36.4667;33.6;Kilise Tepe;47 (L18/96);charcoal;Pinus brutia/halepensis;-23.542;1528;28;NA;0.82677;0.00285;NA;NA;NA;NA;NA
OxA-21336;Turkey;NA;36.4667;33.6;Kilise Tepe;48 (K15/77);charcoal;Olea europea;-23.209;1696;29;NA;0.80969;0.00289;NA;NA;NA;NA;NA
